Posistion in the table;Abbrevation;Full Club Name;Games Played;Won;Drawn;Lost;Goals For;Goals aginst;Goal Difference;Points achived;
1;FCK;Football Club Koebenhavn;22;14;3;5;40;24;16;45;WWLWW
2;AGF;Aarhus gymnastikforening;22;13;6;3;35;19;16;45;WWDWW
3;BIF;Broendby Idraetsforening;22;10;8;4;39;35;4;38;WLLWD
4;RFC;Randers Football Club;22;11;5;6;39;35;4;38;DDWLW
5;FCN;Football Club Nordsjaelland;22;9;5;8;31;21;10;32;LLWLW
6;S;Soenderjyske;22;7;8;7;35;30;5;29;WDDLW
7;OB;Odense Boldklub;22;8;4;10;30;32;-2;28;WLLDL
8;ACH;Alliance Club Horsens;22;7;7;8;30;32;-2;28;LLWWL
9;VB;Vejle Baoldklub;22;7;7;8;24;30;-6;28;WLDDD
10;L;Lyngby Boldklub;22;6;6;10;25;37;-12;24;WLLLD
11;AAB;Aalborg Boldklub;22;5;5;12;25;43;-18;20;LLDLD
12;FCM;Football Club Midtjylland;22;2;6;14;15;37;-22;12;LDLLL
